tissec/tissec12,October 2008,Number 1,Status-Based Access Control.,Steve Barker;Marek J. Sergot;Duminda Wijesekera;,http://doi.acm.org/10.1145/1410234.1410235
tissec/tissec12,October 2008,Number 1,Distributed and Secure Bootstrapping of Mobile Ad Hoc Networks: Framework and Constructions.,Shouhuai Xu;Srdjan Capkun;,http://doi.acm.org/10.1145/1410234.1410236
tissec/tissec12,October 2008,Number 1,New Multiparty Signature Schemes for Network Routing Applications.,Alexandra Boldyreva;Craig Gentry;Adam O'Neill;Dae Hyun Yum;,http://doi.acm.org/10.1145/1410234.1410237
tissec/tissec12,October 2008,Number 1,A Graph Based Approach Toward Network Forensics Analysis.,Wei Wang;Thomas E. Daniels;,http://doi.acm.org/10.1145/1410234.1410238
tissec/tissec12,October 2008,Number 1,Secrecy in Multiagent Systems.,Joseph Y. Halpern;Kevin R. O'Neill;,http://doi.acm.org/10.1145/1410234.1410239
tissec/tissec12,October 2008,Number 1,Private Information: To Reveal or not to Reveal.,Danfeng Yao;Keith B. Frikken;Mikhail J. Atallah;Roberto Tamassia;,http://doi.acm.org/10.1145/1410234.1410240
tissec/tissec12,December 2008,Number 2,Guest Editorial: Special Issue on Computer and Communications Security.,Rebecca N. Wright;Sabrina De Capitani di Vimercati;,http://doi.acm.org/10.1145/1455518.1455519
tissec/tissec12,December 2008,Number 2,Enforcing Safety and Consistency Constraints in Policy-Based Authorization Systems.,Adam J. Lee;Marianne Winslett;,http://doi.acm.org/10.1145/1455518.1455520
tissec/tissec12,December 2008,Number 2,Data Collection with Self-Enforcing Privacy.,Philippe Golle;Frank McSherry;Ilya Mironov;,http://doi.acm.org/10.1145/1455518.1477940
tissec/tissec12,December 2008,Number 2,EXE: Automatically Generating Inputs of Death.,Cristian Cadar;Vijay Ganesh;Peter M. Pawlowski;David L. Dill;Dawson R. Engler;,http://doi.acm.org/10.1145/1455518.1455522
tissec/tissec12,December 2008,Number 2,Fast and Black-box Exploit Detection and Signature Generation for Commodity Software.,XiaoFeng Wang;Zhuowei Li;Jong Youl Choi;Jun Xu;Michael K. Reiter;Chongkyung Kil;,http://doi.acm.org/10.1145/1455518.1455523
tissec/tissec12,December 2008,Number 2,Puppetnets: Misusing Web Browsers as a Distributed Attack Infrastructure.,Spyros Antonatos;Periklis Akritidis;Vinh The Lam;Kostas G. Anagnostakis;,http://doi.acm.org/10.1145/1455518.1477941
tissec/tissec12,December 2008,Number 2,Thwarting E-mail Spam Laundering.,Mengjun Xie;Heng Yin;Haining Wang;,http://doi.acm.org/10.1145/1455518.1455525
tissec/tissec12,January 2009,Number 3,Alcatraz: An Isolated Environment for Experimenting with Untrusted Software.,Zhenkai Liang;Weiqing Sun;V. N. Venkatakrishnan;R. Sekar;,http://doi.acm.org/10.1145/1455526.1455527
tissec/tissec12,January 2009,Number 3,Compact and Anonymous Role-Based Authorization Chain.,Danfeng Yao;Roberto Tamassia;,http://doi.acm.org/10.1145/1455526.1455528
tissec/tissec12,January 2009,Number 3,New Techniques for Private Stream Searching.,John Bethencourt;Dawn Xiaodong Song;Brent Waters;,http://doi.acm.org/10.1145/1455526.1455529
tissec/tissec12,January 2009,Number 3,Opportunities and Limits of Remote Timing Attacks.,Scott A. Crosby;Dan S. Wallach;Rudolf H. Riedi;,http://doi.acm.org/10.1145/1455526.1455530
tissec/tissec12,January 2009,Number 3,Dynamic and Efficient Key Management for Access Hierarchies.,Mikhail J. Atallah;Marina Blanton;Nelly Fazio;Keith B. Frikken;,http://doi.acm.org/10.1145/1455526.1455531
tissec/tissec12,January 2009,Number 3,Run-Time Enforcement of Nonsafety Policies.,Jay Ligatti;Lujo Bauer;David Walker;,http://doi.acm.org/10.1145/1455526.1455532
tissec/tissec12,April 2009,Number 4,Resiliency Policies in Access Control.,Ninghui Li;Qihua Wang;Mahesh V. Tripunitara;,http://doi.acm.org/10.1145/1513601.1513602
tissec/tissec12,April 2009,Number 4,Universally Composable RFID Identification and Authentication Protocols.,Mike Burmester;Tri Van Le;Breno de Medeiros;Gene Tsudik;,http://doi.acm.org/10.1145/1513601.1513603
tissec/tissec12,April 2009,Number 4,IP Covert Channel Detection.,Serdar Cabuk;Carla E. Brodley;Clay Shields;,http://doi.acm.org/10.1145/1513601.1513604
