ccs/ccs1996,1996,None,Unified Login with Pluggable Authentication Modules (PAM).,Vipin Samar;,http://doi.acm.org/10.1145/238168.238177
ccs/ccs1996,1996,None,Secure External References in Multimedia Email Messages.,Burkhard Wiegel;,http://doi.acm.org/10.1145/238168.238179
ccs/ccs1996,1996,None,Securing ATM Networks.,Shaw-Cheng Chuang;,http://doi.acm.org/10.1145/238168.238181
ccs/ccs1996,1996,None,Diffie-Hellman Key Distribution Extended to Group Communication.,Michael Steiner;Gene Tsudik;Michael Waidner;,http://doi.acm.org/10.1145/238168.238182
ccs/ccs1996,1996,None,The Omega Key Management Service.,Michael K. Reiter;Matthew K. Franklin;John B. Lacy;Rebecca N. Wright;,http://doi.acm.org/10.1145/238168.238184
ccs/ccs1996,1996,None,Proxy Signatures for Delegating Signing Operation.,Masahiro Mambo;Keisuke Usuda;Eiji Okamoto;,http://doi.acm.org/10.1145/238168.238185
ccs/ccs1996,1996,None,Batch Exponentiation: A Fast DLP-Based Signature Generation Strategy.,David M'Raïhi;David Naccache;,http://doi.acm.org/10.1145/238168.238187
ccs/ccs1996,1996,None,The Failure of Anti-Hacking Legislation: A Hong Kong Perspective.,Rynson W. H. Lau;Kwok-Yan Lam;Siu Leung Chung;,http://doi.acm.org/10.1145/238168.238189
ccs/ccs1996,1996,None,Human-Computer Cryptography: An Attempt.,Tsutomu Matsumoto;,http://doi.acm.org/10.1145/238168.238190
ccs/ccs1996,1996,None,Revokable and Versatile Electronic Money (extended abstract).,Markus Jakobsson;Moti Yung;,http://doi.acm.org/10.1145/238168.238191
ccs/ccs1996,1996,None,An Efficient Fair Payment System.,Jan Camenisch;Jean-Marc Piveteau;Markus Stadler;,http://doi.acm.org/10.1145/238168.238193
ccs/ccs1996,1996,None,"An Authentication Logic Supporting Synchronization, Revocation, and Recency.",Stuart G. Stubblebine;Rebecca N. Wright;,http://doi.acm.org/10.1145/238168.238195
ccs/ccs1996,1996,None,An Approach to the Formal Verification of Cryptographic Protocols.,Dominique Bolignano;,http://doi.acm.org/10.1145/238168.238196
ccs/ccs1996,1996,None,An Advanced Commit Protocol for MLS Distributed Database Systems.,Indrajit Ray;Elisa Bertino;Sushil Jajodia;Luigi V. Mancini;,http://doi.acm.org/10.1145/238168.238198
ccs/ccs1996,1996,None,Several Secure Store and Forward Devices.,David M. Goldschlag;,http://doi.acm.org/10.1145/238168.238200
ccs/ccs1996,1996,None,An Experiment on DES Statistical Cryptanalysis.,Serge Vaudenay;,http://doi.acm.org/10.1145/238168.238206
ccs/ccs1996,1996,None,Breaking and Repairing a Convertible Undeniable Signature Scheme.,Markus Michels;Holger Petersen;Patrick Horster;,http://doi.acm.org/10.1145/238168.238207
ccs/ccs1996,1996,None,Cryptanalysis of Private-Key Encryption Schemes Based on Burst-Error-Correcting Codes.,Hung-Min Sun;Shiuh-Pyng Shieh;,http://doi.acm.org/10.1145/238168.238208
ccs/ccs1996,1996,None,Access Control and Signatures via Quorum Secret Sharing.,Moni Naor;Avishai Wool;,http://doi.acm.org/10.1145/238168.238209
ccs/ccs1996,1996,None,A Non-Timestamped Authorization Model for Data Management Systems.,Elisa Bertino;Sushil Jajodia;Pierangela Samarati;,http://doi.acm.org/10.1145/238168.238211
