esorics/esorics1990,1990,Database,The SeaView Secure Database System: A Progress Report.,Teresa F. Lunt;Donovan Hsieh;,None
esorics/esorics1990,1990,Database,Relational Database Granularity.,Kioumars Yazdanian;,None
esorics/esorics1990,1990,Database,Group-Oriented Discretionary Access Controls for Distributed Structurally Object-Oriented Database Systems.,Udo Kelter;,None
esorics/esorics1990,1990,Database,A General Framework for Database Security.,Joachim Biskup;,None
esorics/esorics1990,1990,Secure Systems,A General Mechanism for Access Control: Its Relationship to Secure System Concepts.,R. W. Jones;,None
esorics/esorics1990,1990,Secure Systems,An Object-Oriented Architecture to Support System Reliability and Security.,Jörg Kaiser;,None
esorics/esorics1990,1990,Secure Systems,Security Kernel Design and Implementation in the IBM PC Environment.,Zoran Savic;Mihajlo Komocar;,None
esorics/esorics1990,1990,Secure Systems,Authentication and Access Control in a Distributed System.,Gerhard Hoffmann;Stephan Lechner;Matthias Leclerc;Ferdinand Steiner;,None
esorics/esorics1990,1990,Secure Systems,A Security Reclassifier for a Local Area Network.,Ian F. Akyildiz;Glenn S. Benson;,None
esorics/esorics1990,1990,Secure Systems,An Intrusion-Tolerant Security Server for an Open Distributed System.,Laurent Blain;Yves Deswarte;,None
esorics/esorics1990,1990,Secure Systems,An Architecture for a Trusted Network.,E. Stewart Lee;Brian W. Thomson;Peter I. P. Boulton;Michael Stumm;,None
esorics/esorics1990,1990,Models,Using Deducibility in Secure Network Modelling.,Brian W. Thomson;E. Stewart Lee;Peter I. P. Boulton;Michael Stumm;David M. Lewis;,None
esorics/esorics1990,1990,Models,CHIMÆRA: A Network Security Model.,Anas Tarah;Christian Huitema;,None
esorics/esorics1990,1990,Models,An Epistemic and Deontic Logic for Reasoning about Computer Security.,Frédéric Cuppens;,None
esorics/esorics1990,1990,Models,A Calculus of Information Flow.,Colin O'Halloran;,None
esorics/esorics1990,1990,Cryptography,Better Login Protocols for Computer Networks.,Dominique de Waleffe;Jean-Jacques Quisquater;,None
esorics/esorics1990,1990,Cryptography,An Identity-Based Scheme Providing Zero-Knowledge Authentication and Authenticated Key Exchange.,Marc Girault;Jean Claude Paillès;,None
esorics/esorics1990,1990,Cryptography,Pseudorandom Permutations Based on the D.E.S. Scheme.,Jacques Patarin;,None
esorics/esorics1990,1990,Software Engineering for Security,Towards an Object Oriented Development Environment for Secure Applications.,Ernest S. Hocking;John A. McDermid;,None
esorics/esorics1990,1990,Software Engineering for Security,A Case Study in the Formal Refinement of a Distributed Secure System.,Gill Randell;,None
esorics/esorics1990,1990,Security Verification and Evaluation,Epistemic Verification of Cryptographic Protocols.,Pierre Bieber;,None
esorics/esorics1990,1990,Security Verification and Evaluation,"Methodology ""Minerve Security"" - Evaluation Process of Software Security.",Eric Deberdt;Sylvain Martin;,None
esorics/esorics1990,1990,Invited Lecture,Managing Computer Security: How Can Research Help?,D. J. Bailey;,None
esorics/esorics1990,1990,Invited Lecture,Harmonised Criteria for the Security Evaluation of IT Systems and Products.,P. Casey;A. Brouwer;D. Herson;J.-F. Pacault;F. Taal;U. Van Essen;,None
