csfw/csfw1988,1988,None,Covert Channels and Degrees of Insecurity.,Daryl McCullough;,None
csfw/csfw1988,1988,None,What Needs Securing.,Joshua D. Guttman;Mark E. Nadel;,None
csfw/csfw1988,1988,None,Quantitative Formal Security Analysis.,D. G. Weber;,None
csfw/csfw1988,1988,None,Security and the Composition of Machines.,Dale M. Johnson;F. Javier Thayer;,None
csfw/csfw1988,1988,None,An Approach to Increasing the Automation of the Verification of Security.,David Rosenthal;,None
csfw/csfw1988,1988,None,A Security Framework.,Jeremy Jacob;,None
csfw/csfw1988,1988,None,Relating Bell-LaPadula-Style Security Models to Information Models.,Ian Sutherland;,None
csfw/csfw1988,1988,None,"A Model-Theoretic Approach to Specifying, Verifying and Hooking Up Security Policies.",Leo Marcus;Timothy Redmond;,None
csfw/csfw1988,1988,None,Reasoning about Knowledge and Permission in Secure Distributed Systems.,Janice I. Glasgow;Glenn H. MacEwen;Prakash Panangaden;,None
csfw/csfw1988,1988,None,A Formal Definition for Information Flow in the Gypsy Expression Language.,John McHugh;,None
csfw/csfw1988,1988,None,A General Approach to Tranquility in Information Flow Analysis.,Bret Hartman;,None
csfw/csfw1988,1988,None,Derived Information Sensitivity as a Modelling Technique.,Benedetto L. DiVito;,None
csfw/csfw1988,1988,None,Expressive Power of the Schematic Protection Model.,Ravi S. Sandhu;,None
csfw/csfw1988,1988,None,Theft of Information in the Take-Grant Protection Model.,Matt Bishop;,None
csfw/csfw1988,1988,None,Command Authorization as a Component of Information Integrity.,Will Harkness;Paul A. Pittelli;,None
csfw/csfw1988,1988,None,Access Control Policies: Some Unanswered Questions.,Teresa F. Lunt;,None
