infocom/infocom84,1984,Design of LAN Medium Access Units,Transceiver Design and Implementation Experience in an Ethernet-Compatible Fiber Optic Local Area Network.,R. P. Kelley;J. R. Jones;V. J. Bhatt;P. W. Pate;,None
infocom/infocom84,1984,Design of LAN Medium Access Units,Tradeoffs in the Design of Physical Layer Hardware for 1Ø MB/S CSMA/CD Networks Operating on CATV-Type Broadband Media.,Abraham Menachem;David A. Roos;,None
infocom/infocom84,1984,Design of LAN Medium Access Units,A Heterogeneous Network Interface Using a Low-Cost LAN Controller.,Dick C. A. Bulterman;Jeffrey A. Wong;,None
infocom/infocom84,1984,Computer Network Reliability,Analysis and Simulation of a Class of double Loop Network Architectures.,John A. Silvester;C. S. Raghavendra;,None
infocom/infocom84,1984,Computer Network Reliability,A Fast Algorithm for Computing Availability in Networks with Dependent Failures.,John D. Spragins;,None
infocom/infocom84,1984,Computer Network Reliability,The Application of the Random Graph Model for the Reliability Analysis of Dynamic Computer Networks.,Y.-W. Ma;C. M. Chen;,None
infocom/infocom84,1984,Computer Network Reliability,Autonomous Adaptive Local Area Networking: Ring Communications via Point-To-Point Implementation.,Kenneth Brayer;,None
infocom/infocom84,1984,Flow and Congestion Control,End-To-End Performance in Local-Area Networks of Interconnected Token Rings.,Werner Bux;Davide Grillo;,None
infocom/infocom84,1984,Flow and Congestion Control,Performance Analysis of Window Flow Control for Multiple Virtual Routes.,Alexander Thomasian;Paul F. Bay;,None
infocom/infocom84,1984,Flow and Congestion Control,A Two-Level Input Buffer Limit Congestion Control by Not Too Restrictive on Local Input Messages.,Jin-Fu Chang;Chia-Liang Liu;,None
infocom/infocom84,1984,Flow and Congestion Control,New Flow Control Power is Decentralizable and Fair.,Josep M. Selga;,None
infocom/infocom84,1984,Multiaccess Protocols,Unified Window Protocols for Contention Resolution in Local Multi-Access Networks.,Jie-Yong Juang;Benjamin W. Wah;,None
