infocom/infocom83,1983,International Data Communications,DDX Operational Experience and the Network in 85.,Mitsuo Kurachi;Shuji Tomita;Shigetoshi Ohnishi;,None
infocom/infocom83,1983,International Data Communications,Circuit and Packet Switching in Sweden.,Nils Holmqvist;Sven-Olof Eriksson;,None
infocom/infocom83,1983,Distributed Operating Systems,Architecture for a Global Operating System.,Martin S. McKendry;James E. Allchin;W. C. Thibault;,None
infocom/infocom83,1983,Distributed Operating Systems,A New Approach to Network Name Management.,Harry R. Chesley;Raphael Rom;,None
infocom/infocom83,1983,Distributed Operating Systems,On Deadlock Detection in Distributed Computing Systems.,Dushan Z. Badal;M. T. Gehl;,None
infocom/infocom83,1983,Distributed Operation of Packet Radio Networks,Distributed Control of Broadcast Radio Networks with Changing Topologies.,Dennis J. Baker;,None
infocom/infocom83,1983,Distributed Operation of Packet Radio Networks,Balanced Scheduling in a Packet Synchronized spread Spectrum Network.,Bruce E. Hajek;,None
infocom/infocom83,1983,Distributed Operation of Packet Radio Networks,Distributed Broadcast Algorithm in Multihop Aloha Networks.,Baruch Awerbuch;,None
infocom/infocom83,1983,Communications Networking - Today and Tomorrow,Communications Networking - Today and Tomorrow.,Paulina Chan;,None
infocom/infocom83,1983,Communications Networking - Today and Tomorrow,Advanced Office System Networking for the AT&T Corporate Telecommunications.,D. Picasso;,None
infocom/infocom83,1983,Communications Networking - Today and Tomorrow,Hughes Aircraft Company's Experiences in X.25 Packet Networking.,R. A. Eimers;E. W. Huber;J. A. Ryerson;,None
infocom/infocom83,1983,Communications Networking - Today and Tomorrow,Advanced Information Systems (AIS*) / NET 1000 Service Technical Overview.,S. A. Abraham;H. A. Bodner;C. G. Harrington;R. C. White Jr.;,None
infocom/infocom83,1983,Routing and Congestion Control,Fault-Tolerant Broadcast of Routing Information.,Radia J. Perlman;,None
infocom/infocom83,1983,Routing and Congestion Control,A Reliable Broadcast Protocol.,Adrian Segall;Baruch Awerbuch;,None
infocom/infocom83,1983,Routing and Congestion Control,Stability of Adaptive Congestion Controls in Packet Networks.,James P. Fernow;Mohamed L. El-Sayed;,None
