compsec/compsec23,February 2004,Number 1,Security training and awareness - fitting a square peg in a round hole.,E. Eugene Schultz;,https://doi.org/10.1016/j.cose.2004.01.002
compsec/compsec23,February 2004,Number 1,The future of computer forensics: a needs analysis survey.,Marcus K. Rogers;Kate Seigfried;,https://doi.org/10.1016/j.cose.2004.01.003
compsec/compsec23,February 2004,Number 1,Applying application security standards - a case study.,Stuart King;,https://doi.org/10.1016/j.cose.2004.01.005
compsec/compsec23,February 2004,Number 1,TBSE - an engineering approach to the design of accurate and reliable security systems.,John Leach;,https://doi.org/10.1016/S0167-4048(04)00069-0
compsec/compsec23,February 2004,Number 1,Mitigation of network tampering using dynamic dispatch of mobile agents.,Ronald F. DeMara;Adam J. Rocke;,https://doi.org/10.1016/S0167-4048(04)00068-9
compsec/compsec23,February 2004,Number 1,An empirical investigation of network attacks on computer systems.,Soumyo D. Moitra;Suresh L. Konda;,https://doi.org/10.1016/S0167-4048(04)00067-7
compsec/compsec23,February 2004,Number 1,Restraining and repairing file system damage through file integrity control.,Vinícius da Silveira Serafim;Raul Fernando Weber;,https://doi.org/10.1016/S0167-4048(04)00066-5
compsec/compsec23,February 2004,Number 1,Holistic security requirement engineering for electronic commerce.,Albin Zuccato;,https://doi.org/10.1016/S0167-4048(04)00065-3
compsec/compsec23,February 2004,Number 1,Biometric random number generators.,Janusz Szczepanski;Elek Wajnryb;José M. Amigó;Maria V. Sanchez-Vives;Mel Slater;,https://doi.org/10.1016/S0167-4048(04)00064-1
compsec/compsec23,February 2004,Number 1,"Erratum to ""Attacks on the (enhanced) Yang-Shieh authentication"" [Comput Secur 22(8) (2003) 725-727].",Brian McKenna;,https://doi.org/10.1016/j.cose.2004.01.001
compsec/compsec23,March 2004,Number 2,Incident response teams need to change.,E. Eugene Schultz;,https://doi.org/10.1016/j.cose.2004.01.009
compsec/compsec23,March 2004,Number 2,Non-PKI methods for public key distribution.,Mohammad Peyravian;Allen Roginsky;Nevenko Zunic;,https://doi.org/10.1016/j.cose.2004.01.011
