compsec/compsec53,September 2015,September 2015,A taxonomy for privacy enhancing technologies.,Johannes Heurix;Peter Zimmermann;Thomas Neubauer;Stefan Fenz;,https://doi.org/10.1016/j.cose.2015.05.002
compsec/compsec53,September 2015,September 2015,An expert-based investigation of the Common Vulnerability Scoring System.,Hannes Holm;Khalid Khan Afridi;,https://doi.org/10.1016/j.cose.2015.04.012
compsec/compsec53,September 2015,September 2015,When Mice devour the Elephants: A DDoS attack against size-based scheduling schemes in the internet.,Abdul Serwadda;Vir V. Phoha;,https://doi.org/10.1016/j.cose.2015.04.014
compsec/compsec53,September 2015,September 2015,On statistical distance based testing of pseudo random sequences and experiments with PHP and Debian OpenSSL.,Yongge Wang;Tony Nicol;,https://doi.org/10.1016/j.cose.2015.05.005
compsec/compsec53,September 2015,September 2015,Information security conscious care behaviour formation in organizations.,Nader Sohrabi Safa;Mehdi Sookhak;Rossouw von Solms;Steven Furnell;Norjihan Abdul Ghani;Tutut Herawan;,https://doi.org/10.1016/j.cose.2015.05.012
compsec/compsec53,September 2015,September 2015,Security of Software Defined Networks: A survey.,Izzat Alsmadi;Dianxiang Xu;,https://doi.org/10.1016/j.cose.2015.05.006
compsec/compsec53,September 2015,September 2015,Statistical dynamic splay tree filters towards multilevel firewall packet filtering enhancement.,Zouheir Trabelsi;Safaa Zeidan;Mohammad M. Masud;Kilani Ghoudi;,https://doi.org/10.1016/j.cose.2015.05.010
compsec/compsec53,September 2015,September 2015,Information Security Behaviour Profiling Framework (ISBPF) for student mobile phone users.,Bukelwa Ngoqo;Stephen V. Flowerday;,https://doi.org/10.1016/j.cose.2015.05.011
compsec/compsec53,September 2015,September 2015,Input extraction via motion-sensor behavior analysis on smartphones.,Chao Shen;Shichao Pei;Zhenyu Yang;Xiaohong Guan;,https://doi.org/10.1016/j.cose.2015.06.013
compsec/compsec53,September 2015,September 2015,An anomaly analysis framework for database systems.,Sokratis Vavilis;Alexandru Ionut Egner;Milan Petkovic;Nicola Zannone;,https://doi.org/10.1016/j.cose.2015.06.004
compsec/compsec53,September 2015,September 2015,BankSealer: A decision support system for online banking fraud analysis and investigation.,Michele Carminati;Roberto Caron;Federico Maggi;Ilenia Epifani;Stefano Zanero;,https://doi.org/10.1016/j.cose.2015.04.002
compsec/compsec53,September 2015,September 2015,Styx: Privacy risk communication for the Android smartphone platform based on apps' data-access behavior patterns.,Gökhan Bal;Kai Rannenberg;Jason I. Hong;,https://doi.org/10.1016/j.cose.2015.04.004
compsec/compsec53,September 2015,September 2015,New models for efficient authenticated dictionaries.,Kevin Atighehchi;Alexis Bonnecaze;Gabriel Risterucci;,https://doi.org/10.1016/j.cose.2015.04.010
compsec/compsec53,September 2015,September 2015,Reconciling user privacy and implicit authentication for mobile devices.,Siamak Fayyaz Shahandashti;Reihaneh Safavi-Naini;Nashad Ahmed Safa;,https://doi.org/10.1016/j.cose.2015.05.009
compsec/compsec53,September 2015,September 2015,Continuous user authentication using multi-modal biometrics.,Hataichanok Saevanee;Nathan L. Clarke;Steven Furnell;Valerio Biscione;,https://doi.org/10.1016/j.cose.2015.06.001
