compsec/compsec52,July 2015,July 2015,Decentralized detection of network attacks through P2P data clustering of SNMP data.,Walter Cerroni;Gianluca Moro;Roberto Pasolini;Marco Ramilli;,https://doi.org/10.1016/j.cose.2015.03.006
compsec/compsec52,July 2015,July 2015,Gaithashing: A two-factor authentication scheme based on gait features.,Christoforos Ntantogian;Stefanos Malliaros;Christos Xenakis;,https://doi.org/10.1016/j.cose.2015.03.009
compsec/compsec52,July 2015,July 2015,Hypervisor-based malware protection with AccessMiner.,Aristide Fattori;Andrea Lanzi;Davide Balzarotti;Engin Kirda;,https://doi.org/10.1016/j.cose.2015.03.007
compsec/compsec52,July 2015,July 2015,Dytaint: The implementation of a novel lightweight 3-state dynamic taint analysis framework for x86 binary programs.,Erzhou Zhu;Feng Liu;Zuo Wang;Alei Liang;Yiwen Zhang;Xuejian Li;Xuejun Li;,https://doi.org/10.1016/j.cose.2015.03.008
compsec/compsec52,July 2015,July 2015,Digital forensic readiness: Expert perspectives on a theoretical framework.,Mohamed Elyas;Atif Ahmad;Sean B. Maynard;Andrew Lonie;,https://doi.org/10.1016/j.cose.2015.04.003
compsec/compsec52,July 2015,July 2015,Security Busters: Web browser security vs. rogue sites.,Nikos Virvilis;Alexios Mylonas;Nikolaos Tsalis;Dimitris Gritzalis;,https://doi.org/10.1016/j.cose.2015.04.009
compsec/compsec52,July 2015,July 2015,Toward protecting control flow confidentiality in cloud-based computation.,Yongzhi Wang;Jinpeng Wei;,https://doi.org/10.1016/j.cose.2015.04.005
compsec/compsec52,July 2015,July 2015,Analyzing the role of cognitive and cultural biases in the internalization of information security policies: Recommendations for information security awareness programs.,Aggeliki Tsohou;Maria Karyda;Spyros Kokolakis;,https://doi.org/10.1016/j.cose.2015.04.006
compsec/compsec52,July 2015,July 2015,Effect of network infrastructure factors on information system risk judgments.,Jennifer Cowley;Frank L. Greitzer;Bronwyn Woods;,https://doi.org/10.1016/j.cose.2015.04.011
compsec/compsec52,July 2015,July 2015,"Comment on ""Design and formal security evaluation of NeMHIP"".",Ting Wang;Dongyao Ji;,https://doi.org/10.1016/j.cose.2013.02.005
compsec/compsec52,July 2015,July 2015,Enforcement of privacy requirements.,Padmanabhan Krishnan;Kostyantyn Vorobyov;,https://doi.org/10.1016/j.cose.2015.03.004
compsec/compsec52,July 2015,July 2015,Design strategies for a privacy-friendly Austrian eID system in the public cloud.,Bernd Zwattendorfer;Daniel Slamanig;,https://doi.org/10.1016/j.cose.2015.03.002
compsec/compsec52,July 2015,July 2015,The design of phishing studies: Challenges for researchers.,Kathryn Parsons;Agata McCormac;Malcolm Robert Pattinson;Marcus A. Butavicius;Cate Jerram;,https://doi.org/10.1016/j.cose.2015.02.008
compsec/compsec52,July 2015,July 2015,Improving mobile device security with operating system-level virtualization.,Sascha Wessel;Manuel Huber;Frederic Stumpf;Claudia Eckert;,https://doi.org/10.1016/j.cose.2015.02.005
compsec/compsec52,July 2015,July 2015,Workload modelling for mix-based anonymity services.,Karl-Peter Fuchs;Dominik Herrmann;Hannes Federrath;,https://doi.org/10.1016/j.cose.2015.02.004
compsec/compsec52,July 2015,July 2015,Screening smartphone applications using malware family signatures.,Jehyun Lee;Suyeon Lee;Heejo Lee;,https://doi.org/10.1016/j.cose.2015.02.003
compsec/compsec52,July 2015,July 2015,Preface - WISA 2014.,Jeong Hyun Yi;Kyung Hyune Rhee;Gail-Joon Ahn;,https://doi.org/10.1016/j.cose.2015.05.008
compsec/compsec52,July 2015,July 2015,"AMAL: High-fidelity, behavior-based automated malware analysis and classification.",Aziz Mohaisen;Omar Alrawi;Manar Mohaisen;,https://doi.org/10.1016/j.cose.2015.04.001
compsec/compsec52,July 2015,July 2015,Design and analysis of enumeration attacks on finding friends with phone numbers: A case study with KakaoTalk.,Eunhyun Kim;Kyungwon Park;Hyoungshick Kim;Jaeseung Song;,https://doi.org/10.1016/j.cose.2015.04.008
compsec/compsec52,July 2015,July 2015,Montgomery multiplication and squaring for Optimal Prime Fields.,Hwajeong Seo;Zhe Liu;Yasuyuki Nogami;Jongseok Choi;Howon Kim;,https://doi.org/10.1016/j.cose.2015.03.005
