srds/srds2011,2011,Cloud Computing 1,Exploring Latent Features for Memory-Based QoS Prediction in Cloud Computing.,Yilei Zhang;Zibin Zheng;Michael R. Lyu;,https://doi.org/10.1109/SRDS.2011.10
srds/srds2011,2011,Cloud Computing 1,ELT: Efficient Log-based Troubleshooting System for Cloud Computing Infrastructures.,Kamal Kc;Xiaohui Gu;,https://doi.org/10.1109/SRDS.2011.11
srds/srds2011,2011,Cloud Computing 1,Active Replication at (Almost) No Cost.,Andre Martin;Christof Fetzer;Andrey Brito;,https://doi.org/10.1109/SRDS.2011.12
srds/srds2011,2011,Data Management,Transaction Models for Massively Multiplayer Online Games.,Kaiwen Zhang;Bettina Kemme;,https://doi.org/10.1109/SRDS.2011.13
srds/srds2011,2011,Data Management,Balancing the Communication Load of State Transfer in Replicated Systems.,Narasimha Raghavan;Roman Vitenberg;,https://doi.org/10.1109/SRDS.2011.14
srds/srds2011,2011,Data Management,Automated Discovery of Credit Card Data Flow for PCI DSS Compliance.,Jennia Hizver;Tzi-cker Chiueh;,https://doi.org/10.1109/SRDS.2011.15
srds/srds2011,2011,Data Management,OSARE: Opportunistic Speculation in Actively REplicated Transactional Systems.,Roberto Palmieri;Francesco Quaglia;Paolo Romano;,https://doi.org/10.1109/SRDS.2011.16
srds/srds2011,2011,Analytical and Experimental Evaluation 1,Modeling Medium Utilization for Admission Control in Industrial Wireless Mesh Networks.,Georg Lukas;Timo Lindhorst;Edgar Nett;,https://doi.org/10.1109/SRDS.2011.17
srds/srds2011,2011,Analytical and Experimental Evaluation 1,Modeling the Fault Tolerance Consequences of Deduplication.,Eric Rozier;William H. Sanders;Pin Zhou;NagaPramod Mandagere;Sandeep Uttamchandani;Mark L. Yakushev;,https://doi.org/10.1109/SRDS.2011.18
srds/srds2011,2011,Analytical and Experimental Evaluation 1,Resilience-Driven Parameterisation of Ad Hoc Routing Protocols: olsrd as a Case Study.,Jesus Friginal;David de Andrés;Juan-Carlos Ruiz-Garcia;Pedro J. Gil;,https://doi.org/10.1109/SRDS.2011.19
srds/srds2011,2011,Event-based and P2P Systems,DONUT: Building Shortcuts in Large-Scale Decentralized Systems with Heterogeneous Peer Distributions.,Sergey Legtchenko;Sébastien Monnet;Pierre Sens;,https://doi.org/10.1109/SRDS.2011.20
srds/srds2011,2011,Event-based and P2P Systems,Partition-Tolerant Distributed Publish/Subscribe Systems.,Reza Sherafat Kazemzadeh;Hans-Arno Jacobsen;,https://doi.org/10.1109/SRDS.2011.21
srds/srds2011,2011,Event-based and P2P Systems,Exploiting Node Connection Regularity for DHT Replication.,Alessio Pace;Vivien Quéma;Valerio Schiavoni;,https://doi.org/10.1109/SRDS.2011.22
srds/srds2011,2011,Event-based and P2P Systems,An Approach Based on Swarm Intelligence for Event Dissemination in Dynamic Networks.,Adam S. Banzi;Aurora T. R. Pozo;Elias Procópio Duarte Jr.;,https://doi.org/10.1109/SRDS.2011.23
srds/srds2011,2011,Secure and Trusted Systems,Identifying Compromised Users in Shared Computing Infrastructures: A Data-Driven Bayesian Network Approach.,Antonio Pecchia;Aashish Sharma;Zbigniew Kalbarczyk;Domenico Cotroneo;Ravishankar K. Iyer;,https://doi.org/10.1109/SRDS.2011.24
srds/srds2011,2011,Secure and Trusted Systems,DiveInto: Supporting Diversity in Intrusion-Tolerant Systems.,João Antunes;Nuno Ferreira Neves;,https://doi.org/10.1109/SRDS.2011.25
srds/srds2011,2011,Secure and Trusted Systems,Process Implanting: A New Active Introspection Framework for Virtualization.,Zhongshu Gu;Zhui Deng;Dongyan Xu;Xuxian Jiang;,https://doi.org/10.1109/SRDS.2011.26
srds/srds2011,2011,Internet based Systems and Applications,Dangers and Joys of Stock Trading on the Web: Failure Characterization of a Three-Tier Web Service.,Fahad A. Arshad;Saurabh Bagchi;,https://doi.org/10.1109/SRDS.2011.27
srds/srds2011,2011,Internet based Systems and Applications,netCSI: A Generic Fault Diagnosis Algorithm for Large-Scale Failures in Computer Networks.,Srikar Tati;Scott Rager;Bong-Jun Ko;Guohong Cao;Ananthram Swami;Thomas F. La Porta;,https://doi.org/10.1109/SRDS.2011.28
