tdsc/tdsc1,January-March 2004,Number 1,Basic Concepts and Taxonomy of Dependable and Secure Computing.,Algirdas Avizienis;Jean-Claude Laprie;Brian Randell;Carl E. Landwehr;,https://doi.org/10.1109/TDSC.2004.2
tdsc/tdsc1,January-March 2004,Number 1,CODEX: A Robust and Secure Secret Distribution System.,Michael A. Marsh;Fred B. Schneider;,https://doi.org/10.1109/TDSC.2004.3
tdsc/tdsc1,January-March 2004,Number 1,Model-Based Evaluation: From Dependability to Security.,David M. Nicol;William H. Sanders;Kishor S. Trivedi;,https://doi.org/10.1109/TDSC.2004.11
tdsc/tdsc1,January-March 2004,Number 1,A Systems-Theoretic Approach to Safety in Software-Intensive Systems.,Nancy G. Leveson;,https://doi.org/10.1109/TDSC.2004.1
tdsc/tdsc1,January-March 2004,Number 1,Commercial Fault Tolerance: A Tale of Two Systems.,Wendy Bartlett;Lisa Spainhower;,https://doi.org/10.1109/TDSC.2004.4
tdsc/tdsc1,April-June 2004,Number 2,Checkpointing for Peta-Scale Systems: A Look into the Future of Practical Rollback-Recovery.,E. N. Elnozahy;James S. Plank;,https://doi.org/10.1109/TDSC.2004.15
tdsc/tdsc1,April-June 2004,Number 2,Reflections on Industry Trends and Experimental Research in Dependability.,Daniel P. Siewiorek;Ram Chillarege;Zbigniew Kalbarczyk;,https://doi.org/10.1109/TDSC.2004.20
tdsc/tdsc1,April-June 2004,Number 2,Characterization of Soft Errors Caused by Single Event Upsets in CMOS Processes.,Tanay Karnik;Peter Hazucha;Jagdish Patel;,https://doi.org/10.1109/TDSC.2004.14
tdsc/tdsc1,July-September 2004,Number 3,A Comprehensive Approach to Intrusion Detection Alert Correlation.,Fredrik Valeur;Giovanni Vigna;Christopher Krügel;Richard A. Kemmerer;,https://doi.org/10.1109/TDSC.2004.21
tdsc/tdsc1,July-September 2004,Number 3,Identity-Based Fault-Tolerant Conference Key Agreement.,Xun Yi;,https://doi.org/10.1109/TDSC.2004.31
tdsc/tdsc1,July-September 2004,Number 3,An On-Chip Signal Suppression Countermeasure to Power Analysis Attacks.,Girish B. Ratanpal;Ronald D. Williams;Travis N. Blalock;,https://doi.org/10.1109/TDSC.2004.25
tdsc/tdsc1,October-December 2004,Number 4,Change-Point Monitoring for the Detection of DoS Attacks.,Haining Wang;Danlu Zhang;Kang G. Shin;,https://doi.org/10.1109/TDSC.2004.34
tdsc/tdsc1,October-December 2004,Number 4,Defending a P2P Digital Preservation System.,Bryan Parno;Mema Roussopoulos;,https://doi.org/10.1109/TDSC.2004.39
tdsc/tdsc1,October-December 2004,Number 4,Effective Fault Treatment for Improving the Dependability of COTS and Legacy-Based Applications.,Andrea Bondavalli;Silvano Chiaradonna;Domenico Cotroneo;Luigi Romano;,https://doi.org/10.1109/TDSC.2004.40
tdsc/tdsc1,October-December 2004,Number 4,An Authorization Model for Geospatial Data.,Vijayalakshmi Atluri;Soon Ae Chun;,https://doi.org/10.1109/TDSC.2004.32
