joc/joc25,January 2012,Number 1,Resource Requirements of Private Quantum Channels and Consequences for Oblivious Remote State Preparation.,Rahul Jain;,https://doi.org/10.1007/s00145-010-9076-8
joc/joc25,January 2012,Number 1,Partial Fairness in Secure Two-Party Computation.,S. Dov Gordon;Jonathan Katz;,https://doi.org/10.1007/s00145-010-9079-5
joc/joc25,January 2012,Number 1,Which Languages Have 4-Round Zero-Knowledge Proofs?,Jonathan Katz;,https://doi.org/10.1007/s00145-010-9081-y
joc/joc25,January 2012,Number 1,Secure Proxy Signature Schemes for Delegation of Signing Rights.,Alexandra Boldyreva;Adriana Palacio;Bogdan Warinschi;,https://doi.org/10.1007/s00145-010-9082-x
joc/joc25,January 2012,Number 1,Parallel Repetition of Computationally Sound Protocols Revisited.,Krzysztof Pietrzak;Douglas Wikström;,https://doi.org/10.1007/s00145-010-9090-x
joc/joc25,January 2012,Number 1,A Practical Attack on KeeLoq.,Wim Aerts;Eli Biham;Dieter De Moitie;Elke De Mulder;Orr Dunkelman;Sebastiaan Indesteege;Nathan Keller;Bart Preneel;Guy A. E. Vandenbosch;Ingrid Verbauwhede;,https://doi.org/10.1007/s00145-010-9091-9
joc/joc25,January 2012,Number 1,Smooth Projective Hashing and Two-Message Oblivious Transfer.,Shai Halevi;Yael Tauman Kalai;,https://doi.org/10.1007/s00145-010-9092-8
joc/joc25,April 2012,Number 2,Accelerating Pollard's Rho Algorithm on Finite Fields.,Jung Hee Cheon;Jin Hong;Minkyu Kim;,https://doi.org/10.1007/s00145-010-9093-7
joc/joc25,April 2012,Number 2,Provably-Secure Time-Bound Hierarchical Key Assignment Schemes.,Giuseppe Ateniese;Alfredo De Santis;Anna Lisa Ferrara;Barbara Masucci;,https://doi.org/10.1007/s00145-010-9094-6
joc/joc25,April 2012,Number 2,A Simple Variant of the Merkle-Damgård Scheme with a Permutation.,Shoichi Hirose;Je Hong Park;Aaram Yun;,https://doi.org/10.1007/s00145-010-9095-5
joc/joc25,April 2012,Number 2,Multi-Verifier Signatures.,Tom Roeder;Rafael Pass;Fred B. Schneider;,https://doi.org/10.1007/s00145-010-9096-4
joc/joc25,April 2012,Number 2,The Extended k-tree Algorithm.,Lorenz Minder;Alistair Sinclair;,https://doi.org/10.1007/s00145-011-9097-y
joc/joc25,July 2012,Number 3,Efficient Set Operations in the Presence of Malicious Adversaries.,Carmit Hazay;Kobbi Nissim;,https://doi.org/10.1007/s00145-011-9098-x
joc/joc25,July 2012,Number 3,Ideal Multipartite Secret Sharing Schemes.,Oriol Farràs;Jaume Martí-Farré;Carles Padró;,https://doi.org/10.1007/s00145-011-9101-6
joc/joc25,July 2012,Number 3,Perfectly Balanced Boolean Functions and Golić Conjecture.,Stanislav Smyshlyaev;,https://doi.org/10.1007/s00145-011-9100-7
joc/joc25,July 2012,Number 3,Programmable Hash Functions and Their Applications.,Dennis Hofheinz;Eike Kiltz;,https://doi.org/10.1007/s00145-011-9102-5
joc/joc25,July 2012,Number 3,Computational Indistinguishability Between Quantum States and Its Cryptographic Application.,Akinori Kawachi;Takeshi Koshiba;Harumichi Nishimura;Tomoyuki Yamakami;,https://doi.org/10.1007/s00145-011-9103-4
joc/joc25,October 2012,Number 4,Graph Coloring Applied to Secure Computation in Non-Abelian Groups.,Yvo Desmedt;Josef Pieprzyk;Ron Steinfeld;Xiaoming Sun;Christophe Tartary;Huaxiong Wang;Andrew Chi-Chih Yao;,https://doi.org/10.1007/s00145-011-9104-3
joc/joc25,October 2012,Number 4,"Bonsai Trees, or How to Delegate a Lattice Basis.",David Cash;Dennis Hofheinz;Eike Kiltz;Chris Peikert;,https://doi.org/10.1007/s00145-011-9105-2
joc/joc25,October 2012,Number 4,On-line Ciphers and the Hash-CBC Constructions.,Mihir Bellare;Alexandra Boldyreva;Lars R. Knudsen;Chanathip Namprempre;,https://doi.org/10.1007/s00145-011-9106-1
joc/joc25,October 2012,Number 4,Secure Two-Party Computation via Cut-and-Choose Oblivious Transfer.,Yehuda Lindell;Benny Pinkas;,https://doi.org/10.1007/s00145-011-9107-0
joc/joc25,October 2012,Number 4,Batch Verification of Short Signatures.,Jan Camenisch;Susan Hohenberger;Michael Østergaard Pedersen;,https://doi.org/10.1007/s00145-011-9108-z
joc/joc25,October 2012,Number 4,Security Analysis of Randomize-Hash-then-Sign Digital Signatures.,Praveen Gauravaram;Lars R. Knudsen;,https://doi.org/10.1007/s00145-011-9109-y
